No	分類	確認観点	確認内容	確認手順	期待結果	結果	備考
1	画面表示	初期表示	ログイン画面が正常に表示されること	https://mock-task-app.example.com/Login にアクセスする	画面が正常表示され、タイトル・入力欄・ボタンが表示される		Chromeシークレットウィンドウで確認
2	画面表示	タイトル表示	画面タイトル・見出しが想定どおり表示されること	画面上部のタイトル、説明文を確認する	「サインイン」および説明文が表示される		文言崩れがないこと
3	画面表示	入力欄表示	メールアドレス欄、パスワード欄が表示されること	入力欄の表示状態を確認する	2つの入力欄が表示される		ラベル含む
4	画面表示	ボタン表示	ログインボタンが表示されること	ログインボタンを確認する	ログインボタンが表示され、押下可能である			
5	画面表示	補足表示	補足文言・バージョン表記が表示されること	画面下部の補足表示を確認する	注記およびバージョン表示が確認できる			
6	操作	入力	メールアドレス・パスワードが入力できること	各入力欄へ文字を入力する	正常に入力できる			
7	操作	パスワード表示切替	表示切替ボタンが動作すること	パスワード表示切替ボタンを押下する	パスワードの表示/非表示が切り替わる		aria-labelの変化は必要に応じて確認
8	入力チェック	必須入力	未入力時にエラー表示されること	何も入力せずログインボタンを押下する	必須エラーが表示される		送信中表示にならないことも確認
9	認証	異常系	誤った認証情報でログイン失敗すること	誤ったメールアドレスまたはパスワードでログインする	ログイン失敗し、エラーメッセージが表示される			
10	認証	正常系	正常ログインできること	正しいメールアドレスとパスワードでログインする	ログイン成功し、https://mock-task-app.example.com/Projects/Index へ遷移する			
11	操作性	送信中表示	正常送信時のみ送信中表示へ切り替わること	正常入力後にログインする	「ログイン中…」表示へ切り替わる		未入力時は切り替わらないこと
12	操作性	二重送信防止	多重送信が発生しないこと	ログインボタンを連続押下する	多重送信や異常遷移が発生しない			
13	操作性	再操作性	失敗後に再入力・再ログインできること	異常ログイン後に再入力する	ログイン画面に留まり、再入力・再実行できる			
14	レイアウト	PC表示	PC標準幅で崩れがないこと	標準的なブラウザ幅で全体を確認する	崩れ、はみ出し、重なりがない			
15	レイアウト	狭幅表示	狭い画面幅でも重大な崩れがないこと	ブラウザ幅を狭めて確認する	重大な崩れがない			
16	共通影響	CSS影響	他画面に共通CSS影響が出ていないこと	関連画面を表示確認する	想定外の崩れや見た目変更が発生していない		Projects/Index等を確認
17	ログ	異常ログ	重大なエラーが記録されていないこと	アプリケーションログを確認する	重大なエラーログが出力されていない		確認可能な場合のみ
