No	起点画面	確認対象画面	確認対象部品	区分	確認観点	確認方法	結果	備考
1	案件一覧画面	案件一覧画面	画面上部バッジ・タイトル・説明文	画面固有	バッジ、タイトル、説明文が視認しやすく、余白や改行が不自然でないこと	Before/After比較、目視確認	OK	画面の役割を把握しやすい構成に整理
2	案件一覧画面	案件一覧画面	ユーザー情報表示	共通影響確認対象	ユーザー表示部品の配置、文字サイズ、余白に不自然な崩れがないこと	目視確認	OK	_UserBox 変更時の影響も意識
3	案件一覧画面	案件一覧画面	検索入力欄	共通影響確認対象	入力欄の高さ、文字位置、プレースホルダー表示が不自然でないこと	目視確認	OK	検索条件エリア内で崩れなし
4	案件一覧画面	案件一覧画面	検索ボタン・クリアボタン	共通影響確認対象	主操作・補助操作の見分けがつき、ボタン高さ、余白、文字位置に問題がないこと	目視確認	OK	操作区別が把握しやすい
5	案件一覧画面	案件一覧画面	件数表示	画面固有	一覧件数表示が正常で、位置や余白に不自然さがないこと	目視確認	OK	表示崩れなし
6	案件一覧画面	案件一覧画面	ページサイズ選択	共通影響確認対象	セレクトボックスの高さ、横幅、文字位置が不自然でないこと	目視確認	OK	他画面セレクト影響も意識
7	案件一覧画面	案件一覧画面	新規作成ボタン	共通影響確認対象	Leader時のみ表示され、ボタン強調表現や位置に不整合がないこと	目視確認、権限制御確認	OK	Workerでは非表示
8	案件一覧画面	案件一覧画面	再読み込みボタン	共通影響確認対象	補助操作ボタンとして不自然な表示がないこと	目視確認	OK	配置・余白とも問題なし
9	案件一覧画面	案件一覧画面	案件一覧カード	画面固有	一覧カードの境界、背景、内側余白、行ごとの区切りが見やすいこと	目視確認	OK	一覧性向上を確認
10	案件一覧画面	案件一覧画面	案件リンク表示	共通影響確認対象	リンクの文字色、視認性、押下導線に不自然な崩れがないこと	目視確認、遷移確認	OK	タスク一覧への遷移導線に問題なし
11	案件一覧画面	案件一覧画面	状態表示・補足情報	共通影響確認対象	状態表示や補足文言の余白、文字色、可読性に問題がないこと	目視確認	OK	一覧内で読み取りやすい
12	案件一覧画面	案件一覧画面	ページャ	画面固有	前後移動、現在位置、余白、横並び表示が不自然でないこと	目視確認、操作確認	OK	ページング動作も確認
13	案件一覧画面	案件一覧画面	空データ時表示	画面固有	0件時のメッセージが正しく表示され、レイアウト崩れがないこと	目視確認	OK	状態把握しやすい
14	案件一覧画面	案件一覧画面	エラーメッセージ表示	共通影響確認対象	ユーザー情報取得失敗時などのエラー表示が読めること	目視確認、異常系確認	OK	画面継続表示を確認
15	案件一覧画面	案件一覧画面	ローディング表示	画面固有	画面ロード時およびリンク・フォーム送信時に表示が崩れないこと	目視確認、操作確認	OK	完了後に非表示となることを確認
16	案件一覧画面	ログイン画面	入力欄・ボタン・補助文言	共通影響確認対象	共通入力スタイル、共通ボタンスタイル、補助文言の見え方に不自然な波及がないこと	関連画面目視確認	OK	重大な崩れなし
17	案件一覧画面	タスク一覧画面	検索欄・セレクトボックス	共通影響確認対象	共通入力／選択部品の高さ、余白、横並び表示に崩れがないこと	関連画面目視確認	OK	同系統UI部品として確認
18	案件一覧画面	タスク一覧画面	操作ボタン群	共通影響確認対象	作成、CSV出力、再読込等のボタン表示に不自然な影響がないこと	関連画面目視確認	OK	主操作・補助操作とも問題なし
19	案件一覧画面	タスク一覧画面	一覧表示・ページャ	共通影響確認対象	一覧部、件数表示、ページャの表示崩れがないこと	関連画面目視確認	OK	他一覧画面への重大波及なし
20	案件一覧画面	案件作成画面	主要遷移先表示	関連画面確認	新規作成遷移先で重大な表示崩れや操作不能がないこと	遷移確認、目視確認	OK	Leader権限時の導線確認
21	案件一覧画面	全対象画面	横幅縮小時表示	横断確認	横幅縮小時やデータ件数変動時にも不自然な表示にならないこと	目視確認	OK	重大な崩れは確認されず
22	案件一覧画面	全対象画面	共通CSS影響	横断確認	共通入力スタイル、共通ボタンスタイル、共通テキスト色やリンクスタイル変更が他画面に重大影響を与えていないこと	関連画面目視確認	OK	重大な波及なし
23	案件一覧画面	全対象画面	認証・権限制御周辺	横断確認	未ログイン時遷移、Leader/Worker表示差、主要画面遷移にUI起因の不整合がないこと	操作確認	OK	主要確認で問題なし
24	案件一覧画面	全対象画面	対象外確認	整理	検索ロジック、ページングロジック、DB/API仕様、権限制御仕様自体は変更対象外であること	設計内容確認	OK	UI中心の改修として整理
