No	起点画面	確認対象画面	確認対象部品	区分	確認観点	確認方法	結果	備考
1	ログイン画面	ログイン画面	画面タイトル・説明文	画面固有	タイトル、説明文の視認性が改善されており、改行や余白が不自然でないこと	Before/After比較、目視確認	OK	画面の目的が把握しやすい表示に整理
2	ログイン画面	ログイン画面	入力欄	共通影響確認対象	ラベル、入力欄、プレースホルダーの見え方に不自然な崩れがないこと	目視確認	OK	ログイン画面内で表示崩れなし
3	ログイン画面	ログイン画面	パスワード表示切替ボタン	画面固有	ボタン位置、押下しやすさ、入力欄との干渉がないこと	目視確認、操作確認	OK	視認性・操作性ともに問題なし
4	ログイン画面	ログイン画面	ログインボタン	共通影響確認対象	主操作として識別しやすく、ボタンサイズ、余白、文字位置が不自然でないこと	目視確認	OK	強調表現追加後も表示崩れなし
5	ログイン画面	ログイン画面	エラーメッセージ表示	共通影響確認対象	エラー文言の位置、余白、可読性に問題がないこと	目視確認、異常系確認	OK	入力エラー時も把握しやすい表示
6	ログイン画面	ログイン画面	注意文・バージョン表記	画面固有	補足情報が主操作を妨げず、埋もれすぎないこと	目視確認	OK	下部情報として整理
7	ログイン画面	案件一覧画面	検索入力欄	共通影響確認対象	ログイン画面側の入力欄調整が他画面フォームに波及していないこと	目視確認	OK	同系統UI部品として確認
8	ログイン画面	案件一覧画面	検索ボタン・クリアボタン・再読込ボタン	共通影響確認対象	ボタンの高さ、余白、文字位置、境界線が不自然でないこと	目視確認	OK	主操作・補助操作とも崩れなし
9	ログイン画面	案件一覧画面	件数切替セレクト	共通影響確認対象	セレクトボックスの高さ、文字位置、横幅が不自然でないこと	目視確認	OK	表示崩れなし
10	ログイン画面	案件一覧画面	状態バッジ	共通影響確認対象	バッジの角丸、余白、文字潰れがないこと	目視確認	OK	表示中バッジに崩れなし
11	ログイン画面	案件一覧画面	一覧カード	画面共通表現確認	カード境界、背景、内側余白に不自然な影響がないこと	目視確認	OK	一覧コンテナ表示に問題なし
12	ログイン画面	案件一覧画面	見出し・説明文	画面共通表現確認	見出しサイズ、説明文の可読性に不自然な変化がないこと	目視確認	OK	他画面への波及なし
13	ログイン画面	タスク一覧画面	検索欄	共通影響確認対象	検索欄の高さ、文字位置、境界線が不自然でないこと	目視確認	OK	フォーム表示に問題なし
14	ログイン画面	タスク一覧画面	状態・優先度・期限セレクト	共通影響確認対象	複数セレクトボックスの高さ、横並び、表示位置に崩れがないこと	目視確認	OK	フィルタUIに不自然な影響なし
15	ログイン画面	タスク一覧画面	操作ボタン群	共通影響確認対象	作成、CSV出力、再読込等のボタン表示が崩れていないこと	目視確認	OK	複数ボタン配置も問題なし
16	ログイン画面	タスク一覧画面	状態バッジ・優先度バッジ	共通影響確認対象	色付きバッジの余白、文字位置、角丸表示に崩れがないこと	目視確認	OK	一覧行で可読性維持
17	ログイン画面	タスク一覧画面	テーブル表示	画面共通表現確認	表ヘッダ、セル余白、行表示に不自然な崩れがないこと	目視確認	OK	一覧性維持
18	ログイン画面	タスク一覧画面	モーダルダイアログ	共通影響確認対象	ダイアログ枠、閉じるボタン、入力欄、アクションボタンに不自然な影響がないこと	目視確認	OK	モーダルUI表示に問題なし
19	ログイン画面	タスク一覧画面	ページャ・件数表示	共通影響確認対象	件数表示、前へ/次へボタン、ページ位置表示が崩れていないこと	目視確認	OK	操作補助表示に影響なし
20	ログイン画面	全対象画面	狭幅表示	横断確認	画面幅が狭い場合でも主要要素が重なりすぎず、操作阻害がないこと	目視確認	OK	重大な崩れは確認されず
21	ログイン画面	全対象画面	共通CSS影響	横断確認	ログイン画面側の差分により他画面の共通入力欄、ボタン、通知表示に不正な変化がないこと	関連画面目視確認	OK	重大な波及なし
22	ログイン画面	全対象画面	対象外確認	整理	業務仕様、API、DB構造への影響がないこと	設計内容確認	OK	UI中心の改修として整理
