No	起点画面	確認対象画面	確認対象部品	区分	確認観点	確認方法	結果	備考
1	タスク一覧画面	タスク一覧画面	戻るリンク・画面識別バッジ・タイトル・説明文	画面固有	画面文脈が把握しやすく、余白や改行が不自然でないこと	Before/After比較、目視確認	OK	案件名、用途、導線を整理
2	タスク一覧画面	タスク一覧画面	ログインユーザー表示	共通影響確認対象	ユーザー表示部の配置、文字サイズ、余白に不自然な崩れがないこと	目視確認	OK	ヘッダー部で正常表示
3	タスク一覧画面	タスク一覧画面	操作ボタン群	共通影響確認対象	タスク作成、CSV出力、再読込、案件削除の表示と配置に不整合がないこと	目視確認、操作確認	OK	主操作と補助操作を集約
4	タスク一覧画面	タスク一覧画面	ローディング表示	画面固有	画面ロード時および操作時に表示が崩れず、完了後に非表示となること	目視確認、操作確認	OK	ローダー表示を確認
5	タスク一覧画面	タスク一覧画面	成功メッセージ・エラーメッセージ	共通影響確認対象	操作結果通知と異常時通知が可読で、位置や余白に問題がないこと	目視確認、異常系確認	OK	利用者向け表示を確認
6	タスク一覧画面	タスク一覧画面	件数サマリー	画面固有	期限・状態別件数が想定どおり表示され、レイアウト崩れがないこと	目視確認	OK	一覧前の状況把握を補助
7	タスク一覧画面	タスク一覧画面	検索・絞り込みフォーム	共通影響確認対象	キーワード、状態、優先度、期限、表示件数の各入力部品が崩れず操作できること	目視確認、操作確認	OK	絞り込み動作も確認
8	タスク一覧画面	タスク一覧画面	一覧テーブル	共通影響確認対象	表ヘッダ、セル余白、行表示、長文表示に重大な崩れがないこと	目視確認	OK	長文表示は再確認済み
9	タスク一覧画面	タスク一覧画面	状態バッジ・優先度バッジ	共通影響確認対象	色付きバッジの余白、文字位置、視認性に問題がないこと	目視確認	OK	一覧性向上を確認
10	タスク一覧画面	タスク一覧画面	状態変更フォーム	画面固有	状態変更可否表示と実処理が整合し、Done タスクが更新不可であること	目視確認、操作確認	OK	画面表示と処理整合を確認
11	タスク一覧画面	タスク一覧画面	ページャ・表示範囲表示	画面固有	ページ位置、前後移動、件数表示が不自然でないこと	目視確認、操作確認	OK	ページング動作確認済み
12	タスク一覧画面	タスク一覧画面	モバイル向けカード表示	画面固有	小画面でカード表示へ正しく切り替わり、可読性が確保されること	目視確認	OK	レスポンシブ表示確認
13	タスク一覧画面	タスク一覧画面	CSV出力ダイアログ	共通影響確認対象	ダイアログ表示、ボタン、入力補助、閉じる操作に不整合がないこと	目視確認、操作確認	OK	CSV導線を確認
14	タスク一覧画面	タスク一覧画面	CSV出力処理	JS影響確認対象	CSV が想定列・文字コードで出力され、関連操作に不具合がないこと	操作確認	OK	projects-tasks.js 影響を意識
15	タスク一覧画面	タスク一覧画面	取得失敗時表示	重要異常系確認	未処理例外画面ではなく利用者向けエラーメッセージが表示されること	異常系確認	OK	再確認後OK化
16	タスク一覧画面	タスク一覧画面	0件 / 1件 / 複数件表示	画面固有	件数差により一覧表示やレイアウトが崩れないこと	目視確認	OK	各件数パターン確認
17	タスク一覧画面	案件一覧画面	検索欄・ボタン・一覧表示・ページャ	共通影響確認対象	共通CSS変更により検索欄、ボタン、一覧、ページャへ重大な崩れがないこと	関連画面目視確認	OK	Projects 画面への波及確認
18	タスク一覧画面	ログイン画面	入力欄・ボタン・補助文言	共通影響確認対象	ログイン画面のフォーム部品や補助表示に不自然な波及がないこと	関連画面目視確認	OK	Login 画面への重大波及なし
19	タスク一覧画面	タスク詳細画面	主要遷移先表示	関連画面確認	詳細遷移先で重大な表示崩れや操作不能がないこと	遷移確認、目視確認	OK	主要遷移確認
20	タスク一覧画面	新規タスク作成画面	主要遷移先表示	関連画面確認	新規作成遷移先で重大な表示崩れや操作不能がないこと	遷移確認、目視確認	OK	主要遷移確認
21	タスク一覧画面	全対象画面	共通ボタン・共通テーブル・共通バッジ	横断確認	共通部品変更が他画面に意図せず影響していないこと	関連画面目視確認	OK	重大な崩れなし
22	タスク一覧画面	全対象画面	共通メッセージ・モーダル・レスポンシブ制御	横断確認	他画面の通知表示、ダイアログ表示、小画面表示に重大な不具合がないこと	関連画面目視確認	OK	重大な波及なし
23	タスク一覧画面	全対象画面	共通CSS / JS影響	横断確認	共通CSS / JS影響により他画面または対象機能へ重大な不具合が発生していないこと	関連画面目視確認、操作確認	OK	本番移行・切り戻し観点に整合
24	タスク一覧画面	全対象画面	対象外確認	整理	状態遷移ルール、権限制御仕様、API仕様、DB仕様自体は変更対象外であること	設計内容確認	OK	UI改善中心の改修として整理
